年,月,日,回,日目,発送時刻30分前,発送時刻10分前,発送時刻5分前,発送時刻,レースID
2025,07,15,02,06,580,600,605,610,202503020601
2025,07,15,02,06,615,635,640,645,202503020602
2025,07,15,02,06,645,665,670,675,202503020603
2025,07,15,02,06,675,695,700,705,202503020604
2025,07,15,02,06,725,745,750,755,202503020605
2025,07,15,02,06,755,775,780,785,202503020606
2025,07,15,02,06,785,805,810,815,202503020607
2025,07,15,02,06,815,835,840,845,202503020608
2025,07,15,02,06,845,865,870,875,202503020609
2025,07,15,02,06,880,900,905,910,202503020610
2025,07,15,02,06,915,935,940,945,202503020611
2025,07,15,02,06,960,980,985,990,202503020612
2025,07,15,02,06,571,591,596,601,202510020601
2025,07,15,02,06,605,625,630,635,202510020602
2025,07,15,02,06,635,655,660,665,202510020603
2025,07,15,02,06,665,685,690,695,202510020604
2025,07,15,02,06,715,735,740,745,202510020605
2025,07,15,02,06,745,765,770,775,202510020606
2025,07,15,02,06,775,795,800,805,202510020607
2025,07,15,02,06,805,825,830,835,202510020608
2025,07,15,02,06,835,855,860,865,202510020609
2025,07,15,02,06,871,891,896,901,202510020610
2025,07,15,02,06,905,925,930,935,202510020611
2025,07,15,02,06,945,965,970,975,202510020612
2025,07,15,01,10,560,580,585,590,202502011001
2025,07,15,01,10,595,615,620,625,202502011002
2025,07,15,01,10,625,645,650,655,202502011003
2025,07,15,01,10,655,675,680,685,202502011004
2025,07,15,01,10,705,725,730,735,202502011005
2025,07,15,01,10,735,755,760,765,202502011006
2025,07,15,01,10,765,785,790,795,202502011007
2025,07,15,01,10,795,815,820,825,202502011008
2025,07,15,01,10,825,845,850,855,202502011009
2025,07,15,01,10,860,880,885,890,202502011010
2025,07,15,01,10,895,915,920,925,202502011011
2025,07,15,01,10,935,955,960,965,202502011012
