レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202510020603,1,0,0,5,2.9,1.2,1.6,1,1158
202510020603,1,0,0,1,3.6,1.4,2.1,2,1158
202510020603,1,0,0,15,5.3,1.4,2.0,3,1158
202510020603,1,0,0,3,7.0,2.0,3.1,4,1158
202510020603,1,0,0,11,7.5,1.6,2.4,5,1158
202510020603,1,0,0,10,19.5,3.0,4.8,6,1158
202510020603,1,0,0,4,24.0,5.6,9.1,7,1158
202510020603,1,0,0,6,47.8,6.9,11.4,8,1158
202510020603,1,0,0,2,58.2,9.8,16.3,9,1158
202510020603,1,0,0,14,99.7,19.0,31.9,10,1158
202510020603,1,0,0,13,100.0,13.0,21.7,11,1158
202510020603,1,0,0,7,128.5,22.2,37.2,12,1158
202510020603,1,0,0,9,182.9,25.5,42.8,13,1158
202510020603,1,0,0,12,235.8,29.7,49.9,14,1158
202510020603,1,0,0,16,242.9,28.6,48.1,15,1158
202510020603,1,0,0,8,315.1,40.8,68.7,16,1158
